Date,Adj Close,Label,Open,High,Low,Volume,Subjectivity,Polarity,compound,neg,pos,neu
2009-02-03,8078.359863,0,7936.990234,8111.569824,7905.52002,313090000,0.5826580086580087,-0.070974025974026,-0.9969,0.221,0.077,0.702
2009-02-04,7956.660156,1,8070.319824,8162.149902,7929.259766,345520000,0.45824372759856635,-0.03163082437275985,-0.9887,0.171,0.053,0.776
2009-02-05,8063.069824,1,7954.830078,8107.830078,7845.310059,390980000,0.40142246642246643,0.1206166056166056,-0.9849,0.16,0.093,0.748
2009-02-06,8280.589844,0,8056.379883,8312.370117,8052.240234,396380000,0.30052083333333335,-0.013020833333333336,-0.9964,0.182,0.046,0.772
2009-02-09,8270.870117,0,8281.379883,8315.070312,8196.240234,289280000,0.3821732954545455,-0.053967803030303026,-0.997,0.209,0.037,0.755
2009-02-10,7888.879883,1,8269.360352,8269.44043,7848.740234,449890000,0.5050595238095238,0.08809523809523807,-0.9946,0.196,0.072,0.732
2009-02-11,7939.529785,0,7887.049805,7983.740234,7852.160156,270280000,0.48859477124183015,-0.006119281045751648,-0.9975,0.195,0.067,0.738
2009-02-12,7932.759766,0,7931.970215,7938.819824,7693.97998,331960000,0.3390782828282828,-0.001957070707070706,-0.9933,0.184,0.055,0.76
2009-02-13,7850.410156,0,7933.0,7970.839844,7840.450195,251960000,0.28055555555555556,0.01810515873015874,-0.9944,0.175,0.047,0.778
2009-02-17,7552.600098,1,7845.629883,7845.629883,7551.009766,332850000,0.3283477633477633,-0.03362265512265512,-0.9933,0.185,0.049,0.766
2009-02-18,7555.629883,0,7546.350098,7617.759766,7479.970215,268220000,0.32222222222222224,-0.07616959064327485,-0.9779,0.142,0.08,0.778
2009-02-19,7465.950195,0,7555.22998,7614.970215,7447.549805,301480000,0.3848673066064371,-0.04706851119894598,-0.9896,0.193,0.078,0.729
2009-02-20,7365.669922,0,7461.490234,7469.290039,7249.470215,584900000,0.275,-0.006410256410256409,-0.9928,0.211,0.067,0.722
2009-02-23,7114.779785,1,7365.990234,7441.02002,7105.939941,406150000,0.4448412698412699,-0.06470734126984126,-0.9934,0.18,0.063,0.757
2009-02-24,7350.939941,0,7115.339844,7378.970215,7114.299805,468010000,0.3734477124183007,0.035015829248366014,-0.9949,0.201,0.113,0.686
2009-02-25,7270.890137,0,7349.580078,7404.939941,7156.680176,450270000,0.4123376623376623,-0.04971139971139972,-0.9985,0.241,0.05,0.71
2009-02-26,7182.080078,0,7269.060059,7402.310059,7173.560059,321300000,0.3350490196078431,0.049933155080213905,-0.9842,0.156,0.105,0.738
2009-02-27,7062.930176,0,7180.970215,7195.459961,7033.620117,667950000,0.23333333333333336,0.0838888888888889,-0.9954,0.195,0.069,0.736
2009-03-02,6763.290039,0,7056.47998,7058.950195,6755.169922,568670000,0.356640625,-0.04361979166666667,-0.9931,0.17,0.042,0.789
2009-03-03,6726.02002,1,6764.810059,6855.290039,6705.629883,445280000,0.3268488455988456,-0.00137987012987013,-0.9805,0.134,0.044,0.822
2009-03-04,6875.839844,0,6726.5,6979.220215,6726.419922,464830000,0.35169696969696973,0.02157575757575758,-0.998,0.266,0.072,0.662
2009-03-05,6594.439941,1,6874.009766,6874.009766,6544.100098,509770000,0.3240404040404041,-0.038718434343434346,-0.9956,0.181,0.057,0.761
2009-03-06,6626.939941,0,6595.160156,6755.169922,6469.950195,425170000,0.4162486938349007,-0.06684952978056422,-0.9947,0.184,0.064,0.753
2009-03-09,6547.049805,1,6625.740234,6709.609863,6516.859863,365990000,0.3740957966764418,0.026637341153470197,-0.9865,0.162,0.072,0.767
2009-03-10,6926.490234,1,6547.009766,6926.490234,6546.609863,640020000,0.333906633906634,-0.023341523341523344,-0.9905,0.157,0.058,0.785
2009-03-11,6930.399902,1,6923.129883,7015.060059,6867.549805,524430000,0.40226711560044887,0.012168911335578006,-0.9981,0.291,0.035,0.674
2009-03-12,7170.060059,1,6932.390137,7184.709961,6872.25,488690000,0.4202020202020203,-0.05505050505050506,-0.9897,0.182,0.079,0.739
2009-03-13,7223.97998,0,7167.350098,7242.620117,7105.859863,479010000,0.3504558572740391,-0.03196357514539333,-0.9967,0.21,0.051,0.739
2009-03-16,7216.970215,1,7225.330078,7392.910156,7206.850098,586970000,0.3961974961974963,0.05146542646542647,-0.9893,0.14,0.059,0.802
2009-03-17,7395.700195,1,7218.0,7396.810059,7172.049805,391880000,0.2830459770114942,-0.04008620689655173,-0.9978,0.22,0.044,0.736
2009-03-18,7486.580078,0,7395.700195,7571.640137,7257.27002,584110000,0.3233860342555994,-0.048418972332015815,-0.9972,0.235,0.051,0.713
2009-03-19,7400.799805,0,7489.680176,7548.459961,7369.259766,559920000,0.4897290640394089,0.03936781609195402,-0.986,0.179,0.064,0.757
2009-03-20,7278.379883,1,7402.310059,7460.930176,7257.830078,672950000,0.404567817803112,-0.02710753298988592,-0.9976,0.198,0.045,0.757
2009-03-23,7775.859863,0,7279.25,7780.720215,7278.779785,515600000,0.3491946248196247,0.0550153318903319,-0.9964,0.206,0.093,0.701
2009-03-24,7659.970215,1,7773.470215,7796.569824,7646.990234,379670000,0.25,-0.01253443526170798,-0.9976,0.21,0.048,0.741
2009-03-25,7749.810059,1,7659.810059,7863.629883,7550.060059,454090000,0.24583333333333332,-0.14791666666666667,-0.9983,0.256,0.068,0.676
2009-03-26,7924.560059,0,7752.359863,7931.330078,7752.279785,397260000,0.28415637860082305,0.0676954732510288,-0.9962,0.238,0.085,0.677
2009-03-27,7776.180176,0,7922.569824,7922.569824,7735.950195,323650000,0.3716216216216216,-0.03260135135135135,-0.9965,0.226,0.066,0.707
2009-03-30,7522.02002,1,7773.310059,7773.390137,7437.589844,383260000,0.3325151515151515,-0.054878787878787874,-0.991,0.122,0.029,0.849
